date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2023/9/14	29.13710939	67.77807872	7281.262083	9.875	11750.03797	7	4094	1992.888889	3671	928253	11.62978921
2023/9/15	29.90931039	65.50456683	6074.064792	11.5	12573.07609	12	5765	1694.833333	0	1156723	10.89174876
2023/9/16	30.17856196	67.07587242	5003.456667	11.375	12842.21978	8	5734	2234.5	0	1168642	9.839713069
2023/9/17	25.8696156	80.23320834	1952.565729	11.75	13458.57447	6	4439	2353.2	0	1265106	3.573275035
2023/9/18	24.58945043	82.78926214	1900.296146	12.125	14745.20619	11	6453	3250.571429	0	1430285	3.617496664
2023/9/19	22.14265134	91.23633703	949.0263542	12.875	12960.66019	8	4508	2188	4503.5	1334948	2.464376462
2023/9/20	20.35371145	92.07688967	1120.6025	13.125	13905.40952	5	4250	3147.5	1079	1460068	2.842174003
2023/9/21	25.68353317	73.86129697	6754.960417	13.375	13831.11215	9	7736	2506.5	1409	1479929	11.47839631
2023/9/22	21.46618662	83.14706484	2138.458854	14	14102.17857	4	4398	1845	2478	1579444	3.385358968
2023/9/23	18.60879297	89.44781621	941.726875	14.625	13679.23932	10	8815	1661	2149.666667	1600471	2.898431691
2023/9/24	20.84556604	81.35817846	2887.887917	14.375	15177.71304	9	6741	1430	2189.5	1745437	3.454730455
2023/9/25	22.16450906	82.9884847	3185.25	13.75	14489.03636	11	7990	1349	1680.333333	1593794	2.795803684
2023/9/26	23.92449772	79.03348605	4393.032292	13.75	14252.6	13	11458	3271	2327	1567786	3.325321094
2023/9/27	23.83770416	80.55561384	3792.356354	10.125	14752.58025	17	14815	3327.4	1697	1194959	2.880665946
2023/9/28	19.57878632	91.56778653	1134.297708	11.625	12678.15054	9	5808	1561.6	2068.571429	1179068	1.148986403
2023/9/29	24.73325659	75.44964155	5315.827083	14.125	11918.83186	13	8159	2354.875	1400.666667	1346828	3.04266111
2023/9/30	22.81539211	76.08447075	3803.996979	9.75	11325.32051	12	5038	2283.5	1480.625	883375	2.517415719
2023/10/1	17.33877929	88.18411827	635.0134375	9.25	11953.06757	7	3113	2081.2	1450.333333	884527	0.455058184
2023/10/2	18.49436835	88.24097315	2192.753438	9.25	12276.17568	6	3216	2286.2	2099.333333	908437	0.630773179
2023/10/3	21.51956187	81.38113022	3406.629688	10.375	12026.10843	5	5118	2747.5	3516	998167	1.291385406
2023/10/4	19.04485552	96.01710637	862.0144792	10.75	13707.80233	5	2532	1908.6	2229.666667	1178871	0.393952264
2023/10/5	16.8821849	94.190979	1156.349583	10.25	11569.09756	12	8372	1776.571429	1653.833333	948666	0.815079924
2023/10/6	17.01990903	87.49890327	2111.766979	10.125	12026.12346	12	7566	1504.4	1707	974116	1.1233019
2023/10/7	21.30302111	78.31201553	6245.631042	10.625	11039.37647	11	5323	2161.4	1990.5	938347	1.360238229
2023/10/8	18.99421824	85.74337959	2953.284479	10.625	10856.90588	7	3790	1388.857143	2242	922837	0.731778774
2023/10/9	21.1494206	81.59770966	4692.789063	8.25	11599.33333	5	1261	2272.125	2172.833333	765556	1.745686735
2023/10/10	23.70488774	76.68121656	7308.314375	9.75	10484.61538	6	3135	1757	966	817800	2.991059494
2023/10/11	17.67195879	93.24378967	1172.6725	10	10710.5875	6	3501	1523	0	856847	0.149355538
2023/10/12	19.02534859	91.12394651	1707.118229	9.25	11738.14865	8	3882	1416.333333	0	868623	0.357592763
2023/10/13	22.46331448	80.26938438	5462.439167	7.875	11098.47619	8	2907	1827.166667	0	699204	1.237588572
2023/10/14	23.79159649	75.46137174	8630.162083	8.25	10108.57576	4	2210	1651	0	667166	2.783453761
2023/10/15	23.17082004	72.77994156	7153.505729	7.875	10585.8254	3	1362	1918.875	1304	666907	1.831441661
2023/10/16	22.94115611	75.37566821	6267.284063	8.25	10459.07576	4	3575	2099.75	1670	690299	2.198913299
2023/10/17	17.39114893	93.41564178	814.4625	8.375	9569.41791	3	1945	1803.857143	2690.5	641151	0.282616485
2023/10/18	16.28727238	98.83572261	604.9865625	8.375	9750.910448	1	1102	2130.833333	4322	653311	0.289658119
2023/10/19	19.00962492	82.77813594	4266.321563	9.5	9214.671053	1	1617	2088.8	1977	700315	0.945326773
2023/10/20	20.81951147	75.68028768	7757.069375	9.375	10679.21333	4	2250	2692.444444	2770.5	800941	1.790087386
2023/10/21	18.0632899	80.83003362	2210.828438	9.5	10549.60526	2	2506	2626	3555	801770	0.700834016
2023/10/22	20.20745081	77.76829402	3140.819583	10.25	9790.926829	2	1725	2536.777778	930.5	802856	0.983441689
2023/10/23	23.02617965	80.35179774	2836.282917	12	9115.25	2	1676	1367.714286	882.5	875064	1.133108021
2023/10/24	20.23154288	83.50173632	3497.435104	10.125	11093.23457	2	2518	2054	1437	898552	1.467129013
2023/10/25	22.61781005	82.44166374	4923.229479	8.5	12384.89706	2	934	3853.125	1491.333333	842173	3.047444886
2023/10/26	22.52601721	79.94432449	3590.644688	12.125	10235.21649	3	2694	2047.166667	1354.5	992816	3.618607555
2023/10/27	20.79600311	80.79821269	3047.888646	11.25	10259.24444	2	2239	2028.5	2176	923332	3.120623087
2023/10/28	22.2225595	76.68409348	6036.85875	11.75	9457.904255	3	2384	1735.333333	2012	889043	4.474490075
2023/10/29	21.04984087	77.26208369	2563.075208	12.25	9428.72449	2	1935	1887.777778	2307	924015	2.31413986
2023/10/30	21.57092694	76.94121997	2260.440313	12	9978.260417	1	1457	1880.555556	4136	957913	1.488975451
2023/10/31	21.21192132	82.5969855	3953.144583	12.5	10195.91	1	1891	2367.2	2243	1019591	1.412880273
2023/11/1	23.19819744	77.35905647	5372.993333	14	10009.0625	4	2607	2054.818182	1117.333333	1121015	2.375764453
2023/11/2	23.27175352	77.83632278	4858.607396	12.375	10164.0303	6	2777	2935.9	0	1006239	1.986476002
2023/11/3	21.29407816	83.58839353	4173.749479	12.75	10008.22549	3	1487	2701	1560	1020839	1.17320598
2023/11/4	15.86301155	91.99179014	1443.364792	13.5	9655.435185	3	1604	2352.909091	583.5	1042787	0.204997872
2023/11/5	14.48317684	88.87923559	2287.575729	13.875	9854.36036	2	1223	1867.428571	2256.6	1093834	0.734444319
2023/11/6	15.12022894	76.36218071	5551.855	14.5	10172.03448	2	444	2688.444444	2738.5	1179956	1.307750309
2023/11/7	16.13698942	77.6790301	5429.263646	14	10574.98214	1	215	2555.444444	453	1184398	1.012760983
2023/11/8	17.69223582	78.12527021	4730.108542	13.875	6579.36036	1	182	1731.333333	688	730309	0.336384299
2023/11/9	14.55035134	83.25576782	2690.941667	12.375	7004.888889	4	2602	1879.2	0	693484	0.294218676
2023/11/10	14.77674978	83.85396004	2894.226146	11.875	6556.557895	5	2334	2205	0	622873	0.379572326
2023/11/11	7.940818475	99.32119052	273.8398958	7.5	6453.333333	1	849	2204	2607	387200	0.064935122
2023/11/12	11.46393178	95.97598712	1398.610521	8.875	6264.028169	2	1707	1633.375	0	444746	0.109375211
2023/11/13	13.77609173	84.09571648	3394.846667	8.75	6353.228571	1	1010	1834.666667	543	444726	0.799290676
2023/11/14	15.28049982	80.95053037	5342.153229	9.25	6393.581081	2	1042	2050.285714	0	473125	1.476897521
2023/11/15	11.14997197	95.79081535	1036.335104	9.125	6556.178082	4	2081	2308.555556	1434	478601	0.452446428
2023/11/16	16.00256824	80.6842804	5907.663229	9.625	6792.12987	3	1997	1556	1448	522994	2.05394227
2023/11/17	16.49251121	79.0863355	4669.992292	8.0625	7315.139535	2	734	861.3846154	1907.25	471826.5	1.31248929
2023/11/18	15.46161833	81.26242956	4064.521042	9.1875	7074.639456	5	1995	1034	2382.5	519986	0.741220951
2023/11/19	17.15941141	80.52954674	4206.974271	7	7522.258929	8	2862	1058.157895	1289.625	421246.5	0.937836852
2023/11/20	16.0192167	81.1650753	3683.255729	7.5625	7379.322314	5	1723	968.3	1707.5	446449	0.373459805
2023/11/21	16.2187578	84.40400759	2943.83625	8.5625	7071.518248	2	736	933.6	1416.555556	484399	0.207785317
2023/11/22	17.79989684	81.69082006	3913.786354	7.875	7622.730159	2	693	1055.384615	1532.5	480232	0.369801058
2023/11/23	15.04362483	80.32248815	3794.670104	7.3125	8347.239316	4	909	1073	975.6666667	488313.5	0.420052932
2023/11/24	14.50721773	81.99488322	3637.271979	6.75	9371.490741	6	1257	1058.157895	1427.5	506060.5	0.599150972
2023/11/25	10.48514896	94.72808838	1192.65625	7.9375	8471.409449	3	1455	1017.688502	554.5	537934.5	0.158636615
2023/11/26	15.07804027	82.68594742	3609.269583	6.875	7611.236364	8	2912	1027.566202	562.25	418618	0.605357351
2023/11/27	16.96693043	80.85012436	3792.834792	6.25	8477.07	3	1079	1046.359443	193	423853.5	0.692301512
2023/11/28	15.51962027	83.42459997	3815.000521	6.8125	8146.321101	4	1255	1044.554408	645.3333333	443974.5	0.988065238
2023/11/29	14.25652907	87.28380203	2295.713021	6.1875	10708.78788	4	612	1038.86529	1137	530085	0.732766581
2023/11/30	15.07804027	82.68594742	3609.269583	6.875	7611.236364	8	2912	1027.566202	562.25	418618	0.605357351
2023/12/1	16.96693043	80.85012436	3792.834792	6.25	8477.07	3	1079	1046.359443	193	423853.5	0.692301512
2023/12/2	15.51962027	83.42459997	3815.000521	6.8125	8146.321101	4	1255	1044.554408	645.3333333	443974.5	0.988065238
2023/12/3	14.25652907	87.28380203	2295.713021	6.1875	10708.78788	4	612	1038.86529	1137	530085	0.732766581
2024/3/12	19.43	63.31	8073.86	3.5625	494.9298246	0	0	0	0	14105.5	0.175197705
2024/3/13	20.44	68.83	6603.79	3.3125	582.3962264	0	0	0	0	15433.5	0.292296274
2024/3/14	20.63	64.36	8649.46	3.4375	710.4363636	0	0	0	0	19537	0.453366138
2024/3/15	20.53	65.88	7632.46	3.3125	819.8490566	0	0	0	0	21726	0.490901065
2024/3/16	19.1	67.16	3607.71	3.3125	857.9811321	0	0	0	0	22736.5	0.269564552
2024/3/17	14.38	85.09	1332.75	3.5	733.5178571	0	0	0	0	20538.5	0.133163776
2024/3/18	20.82	67.56	7546.47	4.3125	706.7826087	0	0	0	0	24384	0.605236841
2024/3/19	19.77	62.15	8121.25	3.8125	880.7868852	0	0	0	0	26864	0.694583828
2024/3/20	21.07	61.47	8409.58	3.625	1050.862069	0	0	0	0	30475	0.748895387
2024/3/21	23.55	60.55	8777.9	3.5	1336.428571	0	0	136.5	0	37420	0.905628948
2024/3/22	24.69	60.3	8492.6	3.3125	1682.641509	0	0	281.6666667	0	44590	0.774984209
2024/3/23	17.6	72.68	1154.47	3.625	1639.517241	0	0	519.75	0	47546	0.127062006
2024/3/24	14.16	89.9	958.68	3.5625	1706.77193	0	0	285.2142857	0	48643	0.119726853
2024/3/25	22.7	66.13	10097.28	3.75	1895.666667	0	0	197.9285714	0	56870	1.958839181
2024/3/26	17.96	73.06	4573.71	3.5	2327.321429	0	0	286.5714286	0	65165	0.901322266
2024/3/27	20.98	68.18	7636.23	3.75	2527.716667	0	0	302.35	0	75831.5	2.213606759
